Section_Name,Content,Approved/Disapproved,Blanks,signature,final_response,Content_modified,Category,Entity Dictionary,Final_signature
Id,Prot Specific Site IC IC Main IM011-047 USA 0253 10 Jun 2020  ,,,,,,Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Sponsor / Study Title:,"Bristol Myers Squibb/ A Multi-Center, Randomized, Double- Blind, Placebo- and Active Comparator-Controlled Phase 3 Study with Randomized Withdrawal and Retreatment to Evaluate the Efficacy and Safety of BMS-986165 in Subjects with Moderate-to- Severe Plaque Psoriasis",,,,,,Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Address,"GCM Medical Group, PSC Urb. Floral Park 62 Calle Jose Marti San Juan, PR  00917 Puerto Rico",,,,,,Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Subject Information Sheet and Informed Consent Form,,,,yes,yes,"
I agree to the above statement",Certificate,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
1.0 Introduction,"Bristol-Myers Squibb Company 3401 Princeton Pike Lawrenceville, NJ 08648, USA (the Sponsor) is running a research study to see if a study drug not yet approved for market, named BMS-986165, will help in the treatment of moderate-to-severe plaque psoriasis and how safe it is to use in people.",,,yes,yes,"Bristol-Myers Squibb Company 3401 Princeton Pike Lawrenceville, NJ 08648, USA (the Sponsor) is running a research study to see if a study drug not yet approved for market, named BMS-986165, will help in the treatment of moderate-to-severe plaque psoriasis and how safe it is to use in people.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
1.0 Introduction,Clinical research studies in humans are done to find better ways to treat diseases and medical conditions. You are being considered for participation in this research study because you have moderate-to-severe plaque psoriasis.,,,yes,yes,"Clinical research studies in humans are done to find better ways to treat diseases and medical conditions. You are being considered for participation in this research study because you have moderate-to-severe plaque psoriasis.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
1.0 Introduction,"This information sheet is provided to allow you to make an informed decision on whether you would like to take part in the study. Also, your ability to be in the study will be decided based on the screening procedures described below and other eligibility criteria. This sheet gives information about why the study is being done, the study treatment, medical tests and procedures that will be done, and potential risks and possible benefits, if any, so you can make an informed decision about whether or not to be in the study. You are free to ask questions at any time and discuss this information with who you wish to help you decide. Your participation is voluntary, if you do not want to take part you do not need to do anything, and your study doctor will discuss what other treatments are available to you. If you decide not to take part in this research study, you will not lose any health care services that you would otherwise receive. If you do decide to take part, you will have to sign and date the consent form, but you can still withdraw your consent at any time. You will receive a copy of the signed and dated consent form.",,,yes,yes,"This information sheet is provided to allow you to make an informed decision on whether you would like to take part in the study. Also, your ability to be in the study will be decided based on the screening procedures described below and other eligibility criteria. This sheet gives information about why the study is being done, the study treatment, medical tests and procedures that will be done, and potential risks and possible benefits, if any, so you can make an informed decision about whether or not to be in the study. You are free to ask questions at any time and discuss this information with who you wish to help you decide. Your participation is voluntary, if you do not want to take part you do not need to do anything, and your study doctor will discuss what other treatments are available to you. If you decide not to take part in this research study, you will not lose any health care services that you would otherwise receive. If you do decide to take part, you will have to sign and date the consent form, but you can still withdraw your consent at any time. You will receive a copy of the signed and dated consent form.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,"The study is planned to involve 1000 people (men and women aged greater than or equal to 18 years) who have moderate-to-severe plaque psoriasis. Psoriasis is a chronic inflammatory skin disorder, characterized primarily by scaly plaques, that affects up to 3% of the general population.",,,yes,yes,"The study is planned to involve 1000 people (men and women aged greater than or equal to 18 years) who have moderate-to-severe plaque psoriasis. Psoriasis is a chronic inflammatory skin disorder, characterized primarily by scaly plaques, that affects up to 3% of the general population.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,"The purpose of this study is to measure how safe and effective BMS-986165 is in treating participants with psoriasis. Other research studies in animals and in humans showed that BMS-986165 may help control the immune system that is responsible for the signs and symptoms of psoriasis by controlling the molecules in the body responsible for inflammation within the skin. In addition, blood samples will be collected to assess how the study treatments affect your body and may be used to better understand psoriasis, associated medical conditions, or who may respond to the study treatments. These biomarker samples will be used to measure things like: proteins, fats, RNA and DNA.",,,yes,yes,"The purpose of this study is to measure how safe and effective BMS-986165 is in treating participants with psoriasis. Other research studies in animals and in humans showed that BMS-986165 may help control the immune system that is responsible for the signs and symptoms of psoriasis by controlling the molecules in the body responsible for inflammation within the skin. In addition, blood samples will be collected to assess how the study treatments affect your body and may be used to better understand psoriasis, associated medical conditions, or who may respond to the study treatments. These biomarker samples will be used to measure things like: proteins, fats, RNA and DNA.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,"Your study doctor will explain when, how often and how to take the study drugs(s). BMS-986165 is an investigational drug. This means that it has not been approved by the Food and Drug Administration (FDA) for use in your disease in your country.",,,yes,yes,"Your study doctor will explain when, how often and how to take the study drugs(s). BMS-986165 is an investigational drug. This means that it has not been approved by the Food and Drug Administration (FDA) for use in your disease in your country.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
